Year,Month,DOMESTIC,Code
2013,6,1670010,CLT
2013,7,1699291,CLT
2013,8,1721748,CLT
2013,9,1721043,CLT
2013,10,1699468,CLT
2013,11,1585106,CLT
2013,12,1719915,CLT
2014,1,1590888,CLT
2014,2,1347611,CLT
2014,3,1734434,CLT
2014,4,1704594,CLT
2014,5,1774418,CLT
2014,6,1723749,CLT
2014,7,1777785,CLT
2014,8,1724067,CLT
2014,9,1587254,CLT
2014,10,1764277,CLT
2014,11,1585851,CLT
2014,12,1672549,CLT
2015,1,1543094,CLT
2015,2,1391589,CLT
2015,3,1764564,CLT
2015,4,1743614,CLT
2015,5,1813186,CLT
2015,6,1748854,CLT
2015,7,1819874,CLT
2015,8,1759691,CLT
2015,9,1644450,CLT
2015,10,1794082,CLT
2015,11,1688019,CLT
2015,12,1697053,CLT
2016,1,1505895,CLT
2016,2,1432125,CLT
2016,3,1730851,CLT
2016,4,1715140,CLT
2016,5,1816753,CLT
2016,6,1789833,CLT
2016,7,1791474,CLT
2016,8,1733633,CLT
2016,9,1589849,CLT
2016,10,1663327,CLT
2016,11,1619096,CLT
2016,12,1646536,CLT
2017,1,1516078,CLT
2017,2,1461730,CLT
2017,3,1786450,CLT
2017,4,1731662,CLT
2017,5,1820169,CLT
2017,6,1793091,CLT
2017,7,1794129,CLT
2017,8,1794308,CLT
2017,9,1559428,CLT
2017,10,1819302,CLT
2017,11,1712663,CLT
2017,12,1703623,CLT
2018,1,1540452,CLT
2018,2,1528359,CLT
2018,3,1823661,CLT
2018,4,1759880,CLT
2018,5,1851374,CLT
2018,6,1760921,CLT
2018,7,1817092,CLT
2018,8,1829904,CLT
2002,10,570886,DCA
2002,11,535512,DCA
2002,12,556619,DCA
2003,1,441982,DCA
2003,2,441931,DCA
2003,3,565234,DCA
2003,4,579738,DCA
2003,5,609239,DCA
2003,6,595820,DCA
2003,7,587564,DCA
2003,8,566313,DCA
2003,9,487459,DCA
2003,10,629460,DCA
2003,11,591214,DCA
2003,12,581610,DCA
2004,1,458859,DCA
2004,2,544141,DCA
2004,3,653351,DCA
2004,4,683174,DCA
2004,5,666280,DCA
2004,6,674171,DCA
2004,7,660510,DCA
2004,8,614980,DCA
2004,9,580325,DCA
2004,10,690562,DCA
2004,11,643662,DCA
2004,12,628256,DCA
2005,1,533031,DCA
2005,2,581260,DCA
2005,3,768892,DCA
2005,4,747158,DCA
2005,5,779644,DCA
2005,6,778338,DCA
2005,7,769220,DCA
2005,8,707191,DCA
2005,9,658542,DCA
2005,10,709344,DCA
2005,11,714433,DCA
2005,12,697841,DCA
2006,1,579004,DCA
2006,2,619091,DCA
2006,3,796977,DCA
2006,4,797001,DCA
2006,5,807213,DCA
2006,6,820277,DCA
2006,7,771073,DCA
2006,8,734596,DCA
2006,9,651655,DCA
2006,10,758839,DCA
2006,11,735359,DCA
2006,12,702188,DCA
2007,1,598774,DCA
2007,2,616410,DCA
2007,3,794439,DCA
2007,4,787698,DCA
2007,5,825599,DCA
2007,6,825843,DCA
2007,7,806723,DCA
2007,8,799693,DCA
2007,9,666717,DCA
2007,10,783740,DCA
2007,11,730494,DCA
2007,12,647615,DCA
2008,1,576562,DCA
2008,2,621239,DCA
2008,3,751376,DCA
2008,4,758029,DCA
2008,5,789507,DCA
2008,6,780604,DCA
2008,7,790364,DCA
2008,8,752616,DCA
2008,9,646403,DCA
2008,10,753635,DCA
2008,11,652226,DCA
2008,12,683071,DCA
2009,1,563609,DCA
2009,2,585326,DCA
2009,3,713287,DCA
2009,4,752186,DCA
2009,5,751280,DCA
2009,6,758110,DCA
2009,7,779652,DCA
2009,8,730117,DCA
2009,9,651781,DCA
2009,10,756440,DCA
2009,11,670433,DCA
2009,12,635593,DCA
2010,1,556489,DCA
2010,2,483478,DCA
2010,3,762404,DCA
2010,4,753839,DCA
2010,5,764050,DCA
2010,6,764651,DCA
2010,7,770547,DCA
2010,8,762732,DCA
2010,9,698717,DCA
2010,10,800041,DCA
2010,11,744060,DCA
2010,12,714830,DCA
2011,1,579871,DCA
2011,2,591057,DCA
2011,3,772984,DCA
2011,4,778836,DCA
2011,5,825316,DCA
2011,6,811219,DCA
2011,7,807264,DCA
2011,8,776515,DCA
2011,9,716391,DCA
2011,10,788889,DCA
2011,11,749398,DCA
2011,12,705273,DCA
2012,1,585361,DCA
2012,2,610730,DCA
2012,3,783992,DCA
2012,4,782627,DCA
2012,5,811638,DCA
2012,6,832767,DCA
2012,7,847302,DCA
2012,8,873428,DCA
2012,9,746152,DCA
2012,10,821343,DCA
2012,11,808484,DCA
2012,12,757101,DCA
2013,1,685111,DCA
2013,2,668055,DCA
2013,3,846124,DCA
2013,4,825586,DCA
2013,5,889216,DCA
2013,6,861229,DCA
2013,7,870841,DCA
2013,8,863362,DCA
